name,converged,checkpoint_name,n_epochs,test_loss,n_neurons,activation_func_name,learn_W_in,learn_W_out,weight_lambda,rate_lambda,weight_loss_type,rate_loss_type
1740092093.3725736-0,True,checkpoint-loss:0.5/net.pt,5007.0,0.5154897313491971,25.0,ReLU,False,False,0.0,0.5,2.0,1.0
1739923567.606592-0,False,,,,,,,,,,,
1739719382.292049-0,True,checkpoint-loss:0.28/net.pt,7521.0,0.3275441284242429,25.0,Tanh,True,True,0.01,0.0,1.0,2.0
1740133971.4597774-1,True,checkpoint-loss:0.5/net.pt,5410.0,0.5182006922635165,25.0,ReTanh,True,False,0.5,0.0,1.0,2.0
1739828478.279128-6,False,,,,,,,,,,,
1739828520.2481925-0,True,checkpoint-loss:0.47/net.pt,55108.0,0.32577365283192933,400.0,ReTanh,False,True,0.0,0.01,2.0,2.0
1740133971.4597774-3,True,checkpoint-loss:0.42/net.pt,7436.0,0.4514547288417816,25.0,Tanh,False,False,0.01,0.0,1.0,2.0
1739828478.279128-4,False,,,,,,,,,,,
1739828478.6788695-1,True,checkpoint-loss:0.48/net.pt,146605.0,0.35222797487857965,225.0,ReLU,True,False,0.01,0.5,2.0,1.0
1740046384.86038-4,True,checkpoint-loss:0.37/net.pt,35842.0,0.42051206217834874,25.0,ReLU,True,True,0.1,0.1,1.0,2.0
1739719198.7337637-0,True,checkpoint-loss:0.03/net.pt,6786.0,0.0749530399163418,100.0,ReTanh,True,True,0.0,0.01,2.0,2.0
1740046384.86038-3,True,checkpoint-loss:0.04/net.pt,5659.0,0.0714718075959306,225.0,ReLU,True,True,0.01,0.5,2.0,2.0
1740092093.3725736-2,True,checkpoint-loss:0.1/net.pt,8710.0,0.1643614757128737,100.0,ReLU,True,False,0.1,0.01,1.0,2.0
1740092093.3725736-3,True,checkpoint-loss:0.46/net.pt,5378.0,0.4715512908167309,225.0,ReTanh,True,False,0.5,0.01,2.0,2.0
1740046384.86038-1,True,checkpoint-loss:0.08/net.pt,7457.0,0.15015702615181606,400.0,ReTanh,True,True,0.5,0.1,1.0,1.0
1739719382.292049-2,True,checkpoint-loss:0.02/net.pt,5902.0,0.05818380901279549,225.0,ReTanh,True,True,0.0,0.01,2.0,2.0
1739719198.7337637-2,True,checkpoint-loss:0.1/net.pt,9401.0,0.1770818739345199,100.0,ReLU,True,False,0.0,0.5,2.0,2.0
1739828478.6788695-2,True,checkpoint-loss:0.02/net.pt,26571.0,0.1652609511957805,400.0,ReLU,True,False,0.01,0.0,1.0,2.0
1740133971.4597774-5,True,checkpoint-loss:0.12/net.pt,6773.0,0.16555709895842216,225.0,ReLU,True,True,0.5,0.5,2.0,1.0
1739828520.2481925-3,True,checkpoint-loss:0.06/net.pt,31621.0,0.11943818827391799,225.0,Tanh,False,True,0.0,0.0,1.0,1.0
1740046384.86038-2,True,checkpoint-loss:0.02/net.pt,7817.0,0.08829200351492891,100.0,Tanh,True,True,0.0,0.0,2.0,1.0
1740046384.86038-5,True,checkpoint-loss:0.08/net.pt,12586.0,0.10319817734379617,225.0,ReLU,False,True,0.01,0.1,1.0,1.0
1739828478.6788695-5,True,checkpoint-loss:0.06/net.pt,7902.0,0.16908308775164188,225.0,Tanh,True,True,0.01,0.5,2.0,2.0
1740133971.4597774-2,False,checkpoint-epochs:35000/net.pt,35000.0,0.3549965507963784,100.0,ReTanh,True,False,0.0,0.5,2.0,1.0
1739785648.3533168-4,True,checkpoint-loss:0.08/net.pt,10334.0,0.1754360093663518,100.0,Tanh,True,False,0.1,0.0,1.0,1.0
1739828520.2481925-2,True,checkpoint-loss:0.18/net.pt,43664.0,0.2623175929558359,100.0,Tanh,False,True,0.1,0.5,2.0,2.0
1739923567.606592-1,True,checkpoint-loss:0.14/net.pt,39046.0,0.17699443928116118,400.0,Tanh,False,False,0.5,0.5,1.0,1.0
1739785648.3533168-2,True,checkpoint-loss:0.28/net.pt,7222.0,0.3208205116121736,25.0,Tanh,True,True,0.0,0.01,2.0,1.0
1740133971.4597774-4,True,checkpoint-loss:0.31/net.pt,6701.0,0.35947979460744295,100.0,Tanh,True,False,0.1,0.1,2.0,2.0
1740092093.3725736-1,False,checkpoint-epochs:98000/net.pt,98000.0,0.1103965896091573,100.0,ReTanh,False,True,0.01,0.0,2.0,2.0
1740046384.86038-7,True,checkpoint-loss:0.01/net.pt,9227.0,0.1976248986558408,400.0,Tanh,True,True,0.0,0.0,1.0,2.0
1739828478.279128-7,False,,,,,,,,,,,
1739828520.2481925-4,True,checkpoint-loss:0.03/net.pt,8666.0,0.10073074850457153,100.0,ReLU,True,False,0.0,0.01,2.0,1.0
1740046384.86038-6,True,checkpoint-loss:0.45/net.pt,99663.0,0.3072461433402275,225.0,ReLU,False,True,0.0,0.0,1.0,1.0
1739828478.6788695-3,True,checkpoint-loss:0.47/net.pt,5801.0,0.4769611651614561,400.0,ReLU,True,False,0.5,0.1,2.0,2.0
1739828478.279128-5,False,,,,,,,,,,,
1739828520.2481925-5,True,checkpoint-loss:0.09/net.pt,9460.0,0.1789259277676281,100.0,Tanh,True,False,0.01,0.1,2.0,2.0
1739785648.3533168-0,True,checkpoint-loss:0.45/net.pt,7958.0,0.45804020166397097,400.0,Tanh,False,False,0.1,0.0,1.0,1.0
1739719198.7337637-1,True,checkpoint-loss:0.07/net.pt,33533.0,0.12753232003056578,225.0,Tanh,False,False,0.0,0.01,1.0,1.0
1739828478.279128-2,False,,,,,,,,,,,
1740133971.4597774-0,True,checkpoint-loss:0.02/net.pt,5714.0,0.06340805993511758,400.0,ReLU,True,True,0.0,0.01,1.0,1.0
1739785648.3533168-6,True,checkpoint-loss:0.04/net.pt,7127.0,0.09648409532383084,100.0,ReLU,True,True,0.01,0.0,1.0,2.0
1739828520.2481925-1,False,checkpoint-epochs:499000/net.pt,499000.0,0.3039916969374482,100.0,ReLU,False,True,0.1,0.01,1.0,1.0
1739923567.606592-2,True,checkpoint-loss:0.48/net.pt,154186.0,0.4020903313462411,400.0,ReLU,True,False,0.0,0.1,1.0,1.0
1739828478.279128-1,False,,,,,,,,,,,
1739828478.6788695-7,True,checkpoint-loss:0.47/net.pt,108210.0,0.2654774050337511,225.0,ReTanh,False,True,0.1,0.1,2.0,2.0
1739785648.3533168-3,True,checkpoint-loss:0.02/net.pt,6064.0,0.09105289492328636,400.0,ReTanh,True,True,0.01,0.01,1.0,2.0
1739828478.6788695-4,True,checkpoint-loss:0.49/net.pt,5539.0,0.5109191920076098,400.0,Tanh,True,False,0.5,0.5,1.0,1.0
1739719382.292049-1,True,checkpoint-loss:0.35/net.pt,45610.0,0.4099377053310887,25.0,ReTanh,False,True,0.01,0.01,2.0,2.0
1739785648.3533168-1,True,checkpoint-loss:0.45/net.pt,5000.0,0.46010675847530363,400.0,ReLU,False,False,0.01,0.01,1.0,1.0
1739719198.7337637-3,True,checkpoint-loss:0.03/net.pt,7161.0,0.09229055797267291,100.0,ReTanh,True,True,0.0,0.1,1.0,1.0
1739828478.279128-3,False,,,,,,,,,,,
1740046384.86038-0,False,checkpoint-epochs:168000/net.pt,168000.0,0.24363040030977684,100.0,ReLU,False,True,0.0,0.0,2.0,1.0
1739828478.6788695-0,True,checkpoint-loss:0.06/net.pt,10431.0,0.16634477596907388,400.0,Tanh,False,True,0.1,0.01,1.0,1.0
1739785648.3533168-5,True,checkpoint-loss:0.49/net.pt,5000.0,0.49541463911533357,225.0,Tanh,True,False,0.01,0.5,1.0,1.0
1739785648.3533168-7,True,checkpoint-loss:0.38/net.pt,8648.0,0.41536519719266346,25.0,ReTanh,False,True,0.0,0.0,1.0,1.0
1739828478.279128-0,False,,,,,,,,,,,
1739828478.6788695-6,True,checkpoint-loss:0.35/net.pt,6725.0,0.3786126931800562,100.0,Tanh,True,False,0.5,0.01,2.0,2.0
